Filename	Segment	WC	Analytic	Clout	Authentic	Tone	WPS	Sixltr	Dic	affect	posemo	negemo	anx	anger	sad	social	family	friend	female	male	drives	affiliation	achieve	power	reward	risk
10ParsonsG.txt	1	171	46.75	29.92	92.93	86.53	34.20	15.20	84.80	7.02	5.26	1.75	0.00	0.58	0.58	8.19	0.58	0.00	0.00	0.58	6.43	3.51	2.34	1.17	0.58	1.17
15philk.txt	1	11794	43.86	44.34	43.89	23.26	39.05	14.50	75.72	6.14	2.94	3.10	0.20	1.60	0.53	10.43	1.14	0.60	1.37	1.28	6.17	2.05	0.78	1.81	1.70	0.36
52___________18.txt	1	18781	57.55	39.33	34.11	52.11	21.29	17.85	74.85	8.14	4.72	3.31	0.21	1.88	0.47	6.96	0.43	0.43	0.39	1.12	5.88	1.92	1.08	2.04	1.24	0.41
999Sheridan.txt	1	309	59.45	47.41	60.87	7.24	51.50	16.18	75.73	7.77	2.91	4.53	0.00	2.91	0.65	8.09	0.97	0.32	0.32	1.94	6.15	1.94	1.29	1.94	1.94	0.00
adangandara.txt	1	18798	50.63	52.45	47.96	59.52	27.68	18.09	76.66	9.50	5.63	3.85	0.24	1.95	0.65	9.75	0.35	0.85	0.70	0.91	7.28	2.60	1.30	1.91	1.96	0.46
AdrianR_Patino.txt	1	10166	51.18	46.97	43.23	56.03	49.59	15.19	74.24	7.16	4.37	2.76	0.12	1.57	0.36	9.04	0.84	0.61	0.97	1.50	6.32	2.21	1.10	1.53	1.78	0.20
agentcbarton.txt	1	23462	35.96	77.84	15.45	81.40	6.69	18.71	84.68	8.54	5.79	2.71	0.28	1.28	0.46	15.15	0.66	0.17	2.82	5.05	7.86	3.29	0.92	1.82	1.80	0.51
ajigoe.txt	1	10980	66.08	48.94	40.05	53.87	33.07	17.17	69.89	5.84	3.65	2.16	0.19	1.11	0.28	7.64	0.56	0.44	0.61	1.07	6.09	2.02	1.10	1.80	1.65	0.36
alaynarenay.txt	1	12159	37.21	50.99	61.85	92.54	21.48	14.40	79.98	9.43	6.80	2.62	0.13	1.69	0.41	10.22	0.65	0.67	1.21	0.74	7.09	2.36	1.55	2.31	2.05	0.23
alexthomaas.txt	1	4243	38.78	23.97	69.94	49.45	43.30	15.37	79.75	8.74	5.00	3.72	0.33	1.48	0.85	7.57	0.71	0.57	0.92	0.45	6.06	2.40	0.90	1.18	1.84	0.47
allielizmac.txt	1	762	51.58	37.15	55.19	52.87	23.81	14.83	79.13	6.43	3.94	2.49	0.26	1.05	0.39	8.27	0.39	1.18	0.66	1.05	6.04	1.84	1.18	2.10	1.05	0.39
alliewardrop.txt	1	7344	38.64	29.43	50.25	64.24	28.03	15.28	74.47	8.51	5.24	3.21	0.15	1.95	0.37	7.80	0.79	0.38	1.01	0.84	5.57	1.78	0.97	1.29	1.58	0.38
AlliMay_22.txt	1	6875	39.68	61.51	58.74	38.72	29.89	15.72	80.55	5.96	3.32	2.59	0.36	0.96	0.58	10.68	0.76	0.55	1.32	0.86	7.56	2.41	1.11	2.36	1.98	0.44
