u1,u2,cosinesim
Reecy16,hamstanger,0.995694142221
hamstanger,myhappyhead,0.99654950773
hamstanger,sixsoxx,0.995402593408
hamstanger,loganfergusonn,0.995676411353
hamstanger,breeee4,0.995221903054
hamstanger,tylergolucky,0.996894266307
hamstanger,melissanderson_,0.995337098333
hamstanger,madisiin,0.996489295231
hamstanger,DaBlues314,0.995605951469
hamstanger,AWgypsy11,0.995961815301
hamstanger,Tony_Teixeira_,0.995694827722
hamstanger,therealjonhause,0.995396043363
hamstanger,JoseMagallon,0.995113784777
KingRichardXL,sdperez3,0.997577060158
KingRichardXL,VicVicVict0rius,0.995165431485
KingRichardXL,jp_zxliv,0.995858574818
KingRichardXL,ladeelocc,0.995264595036
KingRichardXL,Ay_mick,0.995008797844
KingRichardXL,rakan__A,0.995305782136
KingRichardXL,RomanOrton1993,0.995527268995
KingRichardXL,marisssamarie26,0.99505001603
KingRichardXL,Mc_Clutcheon,0.998858681794
KingRichardXL,eGREGiousme,0.996658725728
lindaalitaa,loganfergusonn,0.996319890642
lindaalitaa,LoveSousa7,0.996311146401
lindaalitaa,sdperez3,0.997079454961
lindaalitaa,collin_menzel,0.995191322171
lindaalitaa,melissanderson_,0.998362354394
lindaalitaa,mysteryppr,0.997883411051
lindaalitaa,ashleyhchase,0.998260820957
lindaalitaa,Britt_Knee_Lynn,0.996178555986
lindaalitaa,__slimjim__,0.995086409335
lindaalitaa,jp_zxliv,0.995550420742
lindaalitaa,ellohhveeee613,0.998685784317
lindaalitaa,PeytenHermansen,0.997336707224
lindaalitaa,itsreileybitch,0.996806070874
lindaalitaa,FitMommyx5,0.995355145511
lindaalitaa,itsANTObitch,0.997018289464
lindaalitaa,_nick_asher,0.996874962886
lindaalitaa,_SamiBrandt,0.995450787281
lindaalitaa,Jramzzy,0.996044446542
lindaalitaa,Cherry4774,0.9957308074
lindaalitaa,smcmullan10,0.995131595299
lindaalitaa,ProblemChildNIK,0.996759952662
lindaalitaa,not_aware_wolf,0.995105352771
lindaalitaa,EskimoPoozel,0.997569702881
lindaalitaa,Ay_mick,0.99807768011
lindaalitaa,_kcbland,0.995813119551
lindaalitaa,dmariefin,0.995054103164
lindaalitaa,rakan__A,0.995586835277
lindaalitaa,chinesmurder420,0.99740235386
lindaalitaa,MSlovelybird,0.997010492684
lindaalitaa,LovePurpleUrkle,0.99843180837
lindaalitaa,RusChiasson,0.997237004877
lindaalitaa,ElPirataDelDF,0.995996224296
lindaalitaa,RylsMcMeier,0.996327138052
lindaalitaa,megans_law,0.996898136029
lindaalitaa,RomanOrton1993,0.99524996311
lindaalitaa,marcuszapata_,0.998117767331
lindaalitaa,NinangSupreme,0.995026581488
lindaalitaa,lindsaysdealer,0.997011975725
lindaalitaa,Tvichi22,0.995871802525
lindaalitaa,justlikehoneyxx,0.997738468628
lindaalitaa,eGREGiousme,0.996499748271
lindaalitaa,toohightooshy,0.995159652429
lindaalitaa,NopoGinger,0.997830297212
lindaalitaa,BabyJuan209,0.996771305463
lindaalitaa,cawwwtney,0.996529157112
lindaalitaa,TakeYuuThere,0.997831766777
lindaalitaa,waylonfearn,0.997017818325
lindaalitaa,thatmarshallvan,0.996072683128
lindaalitaa,Rodz1LLa,0.996750501424
lindaalitaa,codypipper,0.996499922176
lindaalitaa,JoseMagallon,0.995762106901
lindaalitaa,LifelessSammy,0.998606221458
lindaalitaa,coughlin_sam,0.99652397638
ItsEthanBetch,myhappyhead,0.995673036763
ItsEthanBetch,_jessicakanney,0.996699694933
ItsEthanBetch,Jenna_Elise275,0.996758219838
ItsEthanBetch,mysteryppr,0.995731567596
ItsEthanBetch,_SamiBrandt,0.997736891579
ItsEthanBetch,GuidedByVodka,0.996201411802
ItsEthanBetch,smcmullan10,0.997985412181
ItsEthanBetch,zellerpress,0.996895765638
ItsEthanBetch,not_aware_wolf,0.996564416833
ItsEthanBetch,adangandara,0.995243575653
ItsEthanBetch,imwhited,0.996728303749
ItsEthanBetch,tdmeg,0.995564739078
ItsEthanBetch,lyndacarreraaa,0.997264460799
ItsEthanBetch,Corey_Brakhage,0.998169015671
ItsEthanBetch,Andysthrash,0.995193663528
ItsEthanBetch,alexthomaas,0.996092922348
ItsEthanBetch,Mohammed__Lee,0.99650297366
ItsEthanBetch,katalynamarie,0.995122719607
ItsEthanBetch,KwanTrae,0.996220002092
ItsEthanBetch,craigJOONson,0.995016604353
ItsEthanBetch,SlippySoTrippy,0.995890062962
ItsEthanBetch,cawwwtney,0.996058539399
ItsEthanBetch,Neisha_Nashayy,0.996393503583
ItsEthanBetch,wudupchuck,0.99726281479
ItsEthanBetch,Terence_TerTer,0.996089293218
ItsEthanBetch,TrippyFlippyyy,0.996584669081
ItsEthanBetch,superman8128,0.99640459286
Kelshee22,wynterfail,0.995792105813
Kelshee22,BookNasty187,0.995053089641
Kelshee22,MARCCmahWERDS,0.996052572595
Kelshee22,kmulvinator,0.9952084642
Kelshee22,Stevahn_Decay,0.995436913609
Kelshee22,valllgare,0.995286465135
Kelshee22,LikeAHoe101,0.995747592322
myhappyhead,_jessicakanney,0.995762800359
myhappyhead,breeee4,0.997662044501
myhappyhead,PeytenHermansen,0.99501611319
myhappyhead,iamhavingatime,0.996104528243
myhappyhead,Cherry4774,0.995647070424
myhappyhead,GuidedByVodka,0.996731396728
myhappyhead,FostersProblem,0.996553446026
myhappyhead,jenwongers,0.995947596144
myhappyhead,adangandara,0.997791585861
myhappyhead,Corey_Brakhage,0.998000835505
myhappyhead,Andysthrash,0.996527582864
myhappyhead,52___________18,0.995250400338
myhappyhead,SEWillits,0.995996349375
myhappyhead,AWgypsy11,0.997339057598
myhappyhead,Swemps,0.99511912063
myhappyhead,Tony_Teixeira_,0.997019182416
myhappyhead,SlippySoTrippy,0.997060328197
myhappyhead,GGeisingerII,0.995003366974
myhappyhead,Rodz1LLa,0.995666627962
myhappyhead,nick_heinrich,0.995623536393
sixsoxx,loganfergusonn,0.996063250748
sixsoxx,sdperez3,0.996983981715
sixsoxx,AnasSkeleton,0.995551801348
sixsoxx,tylergolucky,0.995689266844
