Filename	Segment	WC	Analytic	Clout	Authentic	Tone	WPS	Sixltr	Dic	affect	posemo	negemo	anx	anger	sad	social	family	friend	female	male	bio	body	health	sexual	ingest	drives	affiliation	achieve	power	reward	risk
Reecy16.txt	1	900	32.70	52.67	60.24	39.69	9.47	13.56	86.78	12.56	6.67	5.89	2.56	2.22	0.56	12.89	0.22	0.89	0.44	0.11	3.56	0.22	1.44	1.11	0.78	8.56	2.11	2.11	2.22	3.00	0.33
Thee_Spleffy.txt	1	177	76.97	26.72	45.61	3.78	44.25	16.38	74.58	14.12	5.65	7.91	1.69	5.65	0.00	3.95	0.00	0.00	0.00	0.00	7.34	1.69	2.26	2.26	1.13	5.08	1.13	1.69	2.26	0.00	0.00
hamstanger.txt	1	924	63.14	64.77	25.77	29.39	7.16	23.05	80.19	8.77	4.44	4.22	1.08	1.62	0.43	8.23	0.00	0.22	0.43	0.87	3.03	0.32	2.16	0.54	0.43	9.31	2.92	1.52	3.46	1.41	0.76
KingRichardXL.txt	1	1256	34.41	42.42	65.60	4.25	9.04	14.81	87.26	9.47	3.66	5.81	0.72	3.26	0.96	10.67	0.08	0.48	0.88	1.27	4.86	1.51	0.88	0.96	1.67	5.57	1.19	1.04	1.59	1.83	0.80
lindaalitaa.txt	1	1717	31.18	38.31	68.77	33.82	81.76	11.30	85.91	8.62	4.48	4.02	0.70	2.04	0.64	10.13	0.35	0.87	0.87	0.76	3.03	1.11	0.41	0.29	0.76	6.87	2.04	1.22	1.46	2.21	0.52
ItsEthanBetch.txt	1	1154	26.51	44.15	62.29	76.92	7.80	11.61	83.71	9.53	6.15	3.38	0.69	1.04	0.87	10.31	0.09	0.35	0.35	0.35	3.55	0.87	1.13	0.52	0.43	5.98	2.77	0.95	1.04	1.30	0.52
Kelshee22.txt	1	2169	28.73	12.55	82.68	18.93	7.86	13.05	84.69	10.37	4.93	5.39	0.65	2.72	0.69	6.64	0.14	0.46	1.06	0.37	5.07	1.20	0.88	1.52	1.38	6.22	1.48	0.74	1.84	2.44	0.32
myhappyhead.txt	1	800	65.62	49.50	63.85	51.50	12.70	23.50	83.50	7.62	4.50	3.12	0.62	1.38	0.25	7.12	0.00	0.25	0.12	0.50	8.50	0.50	6.38	0.75	3.75	7.50	2.00	2.75	1.88	1.38	0.38
sixsoxx.txt	1	4160	32.08	23.61	90.30	22.05	84.90	13.44	88.17	7.14	3.39	3.63	0.62	1.27	0.60	7.26	0.62	0.58	0.26	1.20	2.76	0.91	0.53	0.70	0.60	7.14	1.90	1.68	1.63	1.68	0.58
bigislandtlc.txt	1	2934	87.35	42.82	23.16	4.58	16.12	26.21	62.41	5.15	1.50	3.58	0.61	0.20	2.11	3.14	0.24	0.03	0.17	0.14	7.74	1.16	5.59	0.31	1.40	5.73	0.89	2.45	2.01	0.34	0.55
_jessicakanney.txt	1	1657	46.32	40.71	68.18	77.89	21.24	13.04	84.61	8.51	5.61	2.78	0.60	0.84	0.66	8.09	0.42	0.54	0.66	0.60	3.02	1.15	0.72	0.30	0.84	5.97	1.93	1.15	1.75	1.63	0.48
